state,fire_type,stratification,stratum,year,effect_pct,ci_lower,ci_upper,n_treated,n_control
CO,wildfire,vegetation,grass,1,0.3809843427594114,-1.1552716076774208,1.9172402931962436,27,40
CO,wildfire,vegetation,grass,2,0.19606657125539861,-1.3577611060720625,1.74989424858286,27,40
CO,wildfire,vegetation,grass,3,-1.9421001767110078,-3.8217460057795383,-0.06245434764247729,27,40
CO,wildfire,vegetation,grass,4,-0.3515612105247119,-2.30410895038633,1.6009865293369063,27,40
CO,wildfire,vegetation,grass,5,-0.620536402183698,-4.159629004730332,2.9185562003629357,27,40
CO,wildfire,vegetation,tree,0,0.0,0.0,0.0,17,40
CO,wildfire,vegetation,tree,1,-14.535901607794042,-18.325901495418222,-10.745901720169861,17,40
CO,wildfire,vegetation,tree,2,-12.442199780137193,-16.13666977949659,-8.747729780777798,17,40
CO,wildfire,vegetation,tree,3,-10.200768567258333,-13.489642606378178,-6.9118945281384905,17,40
CO,wildfire,vegetation,tree,4,-12.563313395057365,-16.994564132018354,-8.13206265809638,17,40
CO,wildfire,vegetation,tree,5,-4.5643668447925965,-8.4815772989694,-0.6471563906157914,17,40
CO,wildfire,recreation,high_recreation,0,0.0,0.0,0.0,15,40
CO,wildfire,recreation,high_recreation,1,-11.410900335901136,-15.760034006747226,-7.061766665055047,15,40
CO,wildfire,recreation,high_recreation,2,-9.008024122210244,-13.301318380729988,-4.714729863690505,15,40
CO,wildfire,recreation,high_recreation,3,-8.110825975246996,-11.670513940153395,-4.551138010340599,15,40
CO,wildfire,recreation,high_recreation,4,-9.36147170387701,-14.47115403989912,-4.251789367854901,15,40
CO,wildfire,recreation,high_recreation,5,-2.1354684400390895,-8.48823926954653,4.217302389468348,15,40
CO,wildfire,recreation,non_recreation,0,0.0,0.0,0.0,29,40
CO,wildfire,recreation,non_recreation,1,-2.059902403198661,-3.3302058269555435,-0.789598979441778,29,40
CO,wildfire,recreation,non_recreation,2,-3.026750575225771,-4.42944762574125,-1.6240535247102907,29,40
CO,wildfire,recreation,non_recreation,3,-3.9929379284385584,-5.636952160978767,-2.3489236958983497,29,40
CO,wildfire,recreation,non_recreation,4,-5.416122515101986,-7.053362100663768,-3.7788829295402033,29,40
CO,wildfire,recreation,non_recreation,5,-5.614366610717987,-8.901009655461968,-2.327723565974005,29,40
CO,prescribed,size,small,0,0.0,0.0,0.0,10,22
CO,prescribed,size,small,1,1.4804642600114357,-1.1507101846428651,4.1116387046657366,10,22
CO,prescribed,size,small,2,0.022645797169324723,-2.6626190975384665,2.707910691877116,10,22
CO,prescribed,size,small,3,3.358375292161934,1.0227941942216014,5.693956390102266,10,22
CO,prescribed,size,small,4,4.3769803242915035,1.5136791033576213,7.240281545225385,10,22
CO,prescribed,size,small,5,-0.0536616929433984,-3.0606458756298562,2.953322489743059,10,22
CO,prescribed,size,medium,0,0.0,0.0,0.0,8,22
CO,prescribed,size,medium,1,1.5771679657385673,-0.9244148418234044,4.07875077330054,8,22
CO,prescribed,size,medium,2,1.9903444484503117,-0.5466947429656361,4.52738363986626,8,22
CO,prescribed,size,medium,3,-3.4536421332703084,-5.845331836663532,-1.061952429877085,8,22
CO,prescribed,size,medium,4,-1.3214041640632597,-4.744515278975694,2.1017069508491746,8,22
CO,prescribed,size,large,0,0.0,0.0,0.0,4,22
CO,prescribed,size,large,1,27.022071532167434,21.760438268094457,32.28370479624041,4,22
CO,prescribed,size,large,2,29.334097757388466,24.034539262645204,34.63365625213173,4,22
CO,prescribed,size,large,3,7.6587231443986905,4.410375669365903,10.90707061943148,4,22
CO,prescribed,size,large,4,10.26404110519034,4.565930286227286,15.962151924153398,4,22
CO,prescribed,severity,low,0,0.0,0.0,0.0,22,22
CO,prescribed,severity,low,1,8.278640898118898,4.997205951855528,11.560075844382265,22,22
CO,prescribed,severity,low,2,6.688324265906487,3.158286937518833,10.21836159429414,22,22
CO,prescribed,severity,low,3,2.0799440398535833,-0.5562645271378543,4.7161526068450215,22,22
CO,prescribed,severity,low,4,4.20410302892514,1.3555046577395857,7.052701400110695,22,22
CO,prescribed,severity,low,5,-0.17510615901473026,-7.358155647785189,7.007943329755728,22,22
CO,prescribed,vegetation,grass,0,0.0,0.0,0.0,8,22
CO,prescribed,vegetation,grass,1,10.439161174309804,7.728242282813906,13.150080065805703,8,22
CO,prescribed,vegetation,grass,2,11.450660382951229,8.785496530659527,14.115824235242929,8,22
CO,prescribed,vegetation,grass,3,13.146947161987748,10.565235807846737,15.728658516128762,8,22
CO,prescribed,vegetation,grass,4,12.69202125009707,7.548594799789858,17.835447700404288,8,22
CO,prescribed,vegetation,tree,0,0.0,0.0,0.0,14,22
CO,prescribed,vegetation,tree,1,6.348688192660991,2.295832972998518,10.401543412323463,14,22
CO,prescribed,vegetation,tree,2,3.0922366275379884,-0.8776686561153453,7.062141911191322,14,22
CO,prescribed,vegetation,tree,3,-2.401580494399708,-4.831910018485354,0.028749029685937996,14,22
CO,prescribed,vegetation,tree,4,3.190721328719426,0.5219569794820532,5.8594856779567985,14,22
CO,prescribed,vegetation,tree,5,-0.052473060924150584,-3.0926979823553875,2.987751860507086,14,22
CO,prescribed,recreation,high_recreation,0,0.0,0.0,0.0,9,22
CO,prescribed,recreation,high_recreation,1,16.87979586299176,12.11729514867016,21.642296577313356,9,22
CO,prescribed,recreation,high_recreation,2,17.052050593710906,11.13153713536829,22.972564052053514,9,22
CO,prescribed,recreation,high_recreation,3,4.255895342840397,-0.11097314004082509,8.62276382572162,9,22
CO,prescribed,recreation,high_recreation,4,-0.007601862343359754,-3.4556551923784347,3.440451467691715,9,22
CO,prescribed,recreation,high_recreation,5,-2.0319590928294406,-5.1168802616469184,1.0529620759880378,9,22
CO,prescribed,recreation,non_recreation,0,0.0,0.0,0.0,13,22
CO,prescribed,recreation,non_recreation,1,1.1469189910060387,-1.652036174611545,3.9458741566236224,13,22
CO,prescribed,recreation,non_recreation,2,1.4152473973419777,-1.5473848496562184,4.377879644340173,13,22
CO,prescribed,recreation,non_recreation,3,1.9598004046771076,-0.5345769452309657,4.454177754585181,13,22
CO,prescribed,recreation,non_recreation,4,7.4304760496881,4.312932966760809,10.54801913261539,13,22
CO,prescribed,recreation,non_recreation,5,5.127035714230977,-5.1716637719468235,15.425735200408777,13,22
CA,wildfire,size,small,0,0.0,0.0,0.0,29,142
CA,wildfire,size,small,1,7.768661724229756,3.7718769394984455,11.765446508961066,29,142
CA,wildfire,size,small,2,15.270676663750187,9.730078722570207,20.81127460493017,29,142
CA,wildfire,size,small,3,19.813753567330146,12.78739576636129,26.84011136829901,29,142
CA,wildfire,size,small,4,23.056488348151657,15.02011380095225,31.092862895351065,29,142
CA,wildfire,size,small,5,11.368248743487259,-6.2107315515925245,28.94722903856704,29,142
CA,wildfire,size,medium,0,0.0,0.0,0.0,56,142
CA,wildfire,size,medium,1,-16.5631177751957,-21.905299296709963,-11.220936253681435,56,142
CA,wildfire,size,medium,2,-17.225754357889585,-22.430740800075625,-12.020767915703546,56,142
CA,wildfire,size,medium,3,-19.967493475587315,-25.8686721545,-14.066314796674629,56,142
CA,wildfire,size,medium,4,-22.90576051736994,-30.963612096493538,-14.847908938246343,56,142
CA,wildfire,size,medium,5,-24.414304510478495,-38.91194384659201,-9.916665174364987,56,142
CA,wildfire,size,large,0,0.0,0.0,0.0,56,142
CA,wildfire,size,large,1,-26.9043471336968,-34.06368841398284,-19.745005853410756,56,142
CA,wildfire,size,large,2,-24.803049834569034,-31.97889127687519,-17.627208392262883,56,142
CA,wildfire,size,large,3,-25.55391988893081,-33.20177109756587,-17.906068680295746,56,142
CA,wildfire,size,large,4,-25.836742974158618,-34.676541364230616,-16.996944584086616,56,142
CA,wildfire,size,large,5,-30.32519772568033,-45.98945820899068,-14.66093724236998,56,142
CA,wildfire,severity,low,0,0.0,0.0,0.0,99,142
CA,wildfire,severity,low,1,-11.139952295672462,-15.956105634995414,-6.323798956349511,99,142
CA,wildfire,severity,low,2,-14.215805318619706,-19.485762269277235,-8.945848367962181,99,142
CA,wildfire,severity,low,3,-15.95600395446923,-22.231611533526994,-9.680396375411467,99,142
CA,wildfire,severity,low,4,-12.776963770724967,-20.20835883108656,-5.3455687103633736,99,142
CA,wildfire,severity,low,5,-16.43916480798331,-28.956920547201452,-3.9214090687651644,99,142
CA,wildfire,severity,moderate,0,0.0,0.0,0.0,25,142
CA,wildfire,severity,moderate,1,-11.45194647849027,-15.858082304919785,-7.045810652060755,25,142
CA,wildfire,severity,moderate,2,-9.634169281946185,-14.19339129404052,-5.07494726985185,25,142
CA,wildfire,severity,moderate,3,-9.332637020658648,-15.094867888047133,-3.570406153270162,25,142
CA,wildfire,severity,moderate,4,-10.112848737667532,-15.795428469472892,-4.430269005862172,25,142
CA,wildfire,severity,moderate,5,-11.114460950823148,-18.067544962146073,-4.161376939500223,25,142
CA,wildfire,severity,high,0,0.0,0.0,0.0,17,142
CA,wildfire,severity,high,1,-32.772162579898485,-44.253693022985324,-21.29063213681164,17,142
CA,wildfire,severity,high,2,-23.40600916980651,-33.454827213121696,-13.357191126491319,17,142
CA,wildfire,severity,high,3,-35.24155727273659,-48.418063695520814,-22.065050849952375,17,142
CA,wildfire,severity,high,4,-31.46366997844914,-45.575492395273756,-17.351847561624524,17,142
CA,wildfire,severity,high,5,-44.33989641848596,-68.35328774329138,-20.326505093680545,17,142
CA,wildfire,vegetation,grass,0,0.0,0.0,0.0,65,142
CA,wildfire,vegetation,grass,1,-2.4831282231392264,-7.326744220153124,2.360487773874671,65,142
CA,wildfire,vegetation,grass,2,-2.1257616634357492,-6.950656898104245,2.6991335712327453,65,142
CA,wildfire,vegetation,grass,3,-4.167769158944384,-9.811440619152949,1.4759023012641805,65,142
CA,wildfire,vegetation,grass,4,-3.703284275375831,-10.491727868302442,3.0851593175507825,65,142
CA,wildfire,vegetation,grass,5,-0.7604654180812507,-12.25301306983374,10.73208223367124,65,142
CA,wildfire,vegetation,shrub,0,0.0,0.0,0.0,10,142
CA,wildfire,vegetation,shrub,1,2.19739252525844,0.5898408271634984,3.8049442233533814,10,142
CA,wildfire,vegetation,shrub,2,5.378952951766599,3.9582718257984837,6.799634077734713,10,142
CA,wildfire,vegetation,shrub,3,-2.893144146086332,-4.577748352921317,-1.208539939251347,10,142
CA,wildfire,vegetation,shrub,4,-0.092259417552936,-2.4488342585414977,2.2643154234356255,10,142
CA,wildfire,vegetation,shrub,5,0.876462280368476,-2.627229820968679,4.380154381705631,10,142
CA,wildfire,vegetation,tree,0,0.0,0.0,0.0,66,142
CA,wildfire,vegetation,tree,1,-33.51543113548583,-39.99458625434071,-27.03627601663095,66,142
CA,wildfire,vegetation,tree,2,-32.044984133135536,-38.67487347466066,-25.41509479161041,66,142
CA,wildfire,vegetation,tree,3,-34.02973384181411,-42.00814774284865,-26.051319940779567,66,142
CA,wildfire,vegetation,tree,4,-37.922299876907395,-48.02433535123385,-27.82026440258093,66,142
CA,wildfire,vegetation,tree,5,-42.65556589268809,-58.713552729413244,-26.59757905596294,66,142
CA,wildfire,recreation,high_recreation,0,0.0,0.0,0.0,51,142
CA,wildfire,recreation,high_recreation,1,-20.134014502759793,-26.43565005897229,-13.832378946547305,51,142
CA,wildfire,recreation,high_recreation,2,-18.968579338993152,-24.967320670686018,-12.969838007300286,51,142
CA,wildfire,recreation,high_recreation,3,-18.954867461882465,-25.344520896061933,-12.565214027702993,51,142
CA,wildfire,recreation,high_recreation,4,-11.219299291038196,-19.01576075807306,-3.422837824003329,51,142
CA,wildfire,recreation,high_recreation,5,-15.499022015386585,-28.247885841428282,-2.7501581893448885,51,142
CA,wildfire,recreation,non_recreation,0,0.0,0.0,0.0,90,142
CA,wildfire,recreation,non_recreation,1,-14.781781242187769,-19.814564610129736,-9.748997874245804,90,142
CA,wildfire,recreation,non_recreation,2,-14.54804558585914,-19.75655197516011,-9.339539196558169,90,142
CA,wildfire,recreation,non_recreation,3,-16.24585674108818,-22.190194296132653,-10.301519186043707,90,142
CA,wildfire,recreation,non_recreation,4,-20.166993441491194,-27.09088226554227,-13.243104617440112,90,142
CA,wildfire,recreation,non_recreation,5,-9.637674189089033,-18.007268423906666,-1.2680799542714034,90,142
CA,prescribed,size,small,0,0.0,0.0,0.0,29,35
CA,prescribed,size,small,1,-3.5157065636917166,-5.2865611450941685,-1.7448519822892652,29,35
CA,prescribed,size,small,2,-3.0149512214552003,-5.0437384792104165,-0.9861639636999837,29,35
CA,prescribed,size,small,3,-1.7398122849092246,-3.647231179923575,0.16760661010512554,29,35
CA,prescribed,size,small,4,-2.561814880437055,-5.07919203742696,-0.04443772344715008,29,35
CA,prescribed,size,small,5,-0.2151892774349758,-4.217472200387075,3.787093645517123,29,35
CA,prescribed,size,medium,0,0.0,0.0,0.0,2,35
CA,prescribed,size,medium,1,4.4037891280175865,3.469066006648404,5.338512249386769,2,35
CA,prescribed,size,medium,2,0.19482144816399735,-1.0237841900144575,1.4134270863424525,2,35
CA,prescribed,size,medium,3,1.6699186110567767,0.5108551578072897,2.8289820643062638,2,35
CA,prescribed,size,medium,4,8.800794033608286,7.08435111809733,10.517236949119242,2,35
CA,prescribed,severity,low,0,0.0,0.0,0.0,32,35
CA,prescribed,severity,low,1,-3.173726540073047,-4.84076690821879,-1.5066861719273037,32,35
CA,prescribed,severity,low,2,-3.0660601186261602,-5.004830308042134,-1.1272899292101857,32,35
CA,prescribed,severity,low,3,-1.9999466419028449,-3.8223106402049534,-0.17758264360073645,32,35
CA,prescribed,severity,low,4,-1.8809419758533619,-4.378300802352188,0.6164168506454639,32,35
CA,prescribed,severity,low,5,-2.180668831592174,-6.314079883065659,1.9527422198813114,32,35
CA,prescribed,vegetation,grass,0,0.0,0.0,0.0,2,35
CA,prescribed,vegetation,grass,1,-6.722614002664565,-8.142513568619075,-5.302714436710056,2,35
CA,prescribed,vegetation,grass,2,-8.757495911894722,-10.386235643825085,-7.12875617996436,2,35
CA,prescribed,vegetation,grass,3,-9.133355627867529,-10.803068536739376,-7.463642718995682,2,35
CA,prescribed,vegetation,grass,4,-11.27792278863527,-13.801337255866509,-8.754508321404034,2,35
CA,prescribed,vegetation,grass,5,-6.880775517636094,-9.547693811086383,-4.213857224185803,2,35
CA,prescribed,vegetation,shrub,0,0.0,0.0,0.0,2,35
CA,prescribed,vegetation,shrub,1,-15.7282899406192,-17.52172126584312,-13.93485861539528,2,35
CA,prescribed,vegetation,shrub,2,-10.012368048217548,-11.810985463437614,-8.213750632997483,2,35
CA,prescribed,vegetation,shrub,3,-9.843415352115944,-12.023627862688917,-7.6632028415429705,2,35
CA,prescribed,vegetation,shrub,4,-13.863813797715357,-17.34326363169314,-10.384363963737577,2,35
CA,prescribed,vegetation,tree,0,0.0,0.0,0.0,28,35
CA,prescribed,vegetation,tree,1,-1.756853181065797,-3.5216743880304033,0.007968025898809256,28,35
CA,prescribed,vegetation,tree,2,-1.6713579094904514,-3.713692053709234,0.3709762347283306,28,35
CA,prescribed,vegetation,tree,3,-0.6926597194666279,-2.6111099923985237,1.225790553465268,28,35
CA,prescribed,vegetation,tree,4,0.6527445434705589,-1.8214681533130133,3.1269572402541317,28,35
CA,prescribed,vegetation,tree,5,-1.126544260571725,-5.424647713149846,3.171559192006395,28,35
CA,prescribed,recreation,high_recreation,0,0.0,0.0,0.0,15,35
CA,prescribed,recreation,high_recreation,1,-0.6147305751941897,-2.064022881596456,0.8345617312080765,15,35
CA,prescribed,recreation,high_recreation,2,-1.2797365284705087,-3.0693032026386504,0.5098301456976335,15,35
CA,prescribed,recreation,high_recreation,3,-1.9217002062324529,-3.5178234298060413,-0.32557698265886453,15,35
CA,prescribed,recreation,high_recreation,4,-5.038361451404791,-7.572048433809917,-2.5046744689996636,15,35
CA,prescribed,recreation,high_recreation,5,-4.674130549641021,-9.041714710030298,-0.3065463892517449,15,35
CA,prescribed,recreation,non_recreation,0,0.0,0.0,0.0,17,35
CA,prescribed,recreation,non_recreation,1,-4.400803433591309,-5.937488592201459,-2.8641182749811605,17,35
CA,prescribed,recreation,non_recreation,2,-3.7426204321106957,-5.707572790231999,-1.7776680739893933,17,35
CA,prescribed,recreation,non_recreation,3,-1.9818393416310212,-3.859870871174135,-0.10380781208790761,17,35
CA,prescribed,recreation,non_recreation,4,1.591857907504666,-0.9612542646631819,4.144970079672514,17,35
CA,prescribed,recreation,non_recreation,5,-0.15629636819817985,-4.678116912182652,4.365524175786292,17,35
